start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2017-10-30,2018-10-28,2018-10-28,16705000000,USD,2020,FY,10-K,CY2018,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-29,2019-01-27,2019-01-27,3753000000,USD,2020,FY,10-K,CY2018Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-28,2019-04-28,2019-04-28,3539000000,USD,2020,FY,10-K,CY2019Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-04-29,2019-07-28,2019-07-28,3562000000,USD,2020,FY,10-K,CY2019Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-29,2019-10-27,2019-10-27,14608000000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-29,2019-10-27,2019-10-27,14608000000,USD,2021,FY,10-K,CY2019,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-29,2019-10-27,2019-10-27,3754000000,USD,2020,FY,10-K,CY2019Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-28,2020-01-26,2020-01-26,4162000000,USD,2020,FY,10-K,CY2019Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-28,2020-04-26,2020-04-26,8119000000,USD,2021,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-01-27,2020-04-26,2020-04-26,3957000000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-01-27,2020-04-26,2020-04-26,3957000000,USD,2021,Q2,10-Q,CY2020Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-28,2020-07-26,2020-07-26,12514000000,USD,2021,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-04-27,2020-07-26,2020-07-26,4395000000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-04-27,2020-07-26,2020-07-26,4395000000,USD,2021,Q3,10-Q,CY2020Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-28,2020-10-25,2020-10-25,17202000000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-28,2020-10-25,2020-10-25,17202000000,USD,2021,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-28,2020-10-25,2020-10-25,17202000000,USD,2022,FY,10-K,CY2020,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-27,2020-10-25,2020-10-25,4688000000,USD,2020,FY,10-K,CY2020Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-26,2021-01-31,2021-01-31,5162000000,USD,2022,Q1,10-Q,CY2020Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-26,2021-05-02,2021-05-02,10744000000,USD,2021,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-26,2021-05-02,2021-05-02,10744000000,USD,2022,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-02-01,2021-05-02,2021-05-02,5582000000,USD,2021,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-02-01,2021-05-02,2021-05-02,5582000000,USD,2022,Q2,10-Q,CY2021Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-26,2021-08-01,2021-08-01,16940000000,USD,2021,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-26,2021-08-01,2021-08-01,16940000000,USD,2022,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-05-03,2021-08-01,2021-08-01,6196000000,USD,2021,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-05-03,2021-08-01,2021-08-01,6196000000,USD,2022,Q3,10-Q,CY2021Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-26,2021-10-31,2021-10-31,23063000000,USD,2021,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-26,2021-10-31,2021-10-31,23063000000,USD,2022,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-26,2021-10-31,2021-10-31,23063000000,USD,2023,FY,10-K,CY2021,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-11-01,2022-01-30,2022-01-30,6271000000,USD,2022,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-11-01,2022-01-30,2022-01-30,6271000000,USD,2023,Q1,10-Q,CY2021Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-11-01,2022-05-01,2022-05-01,12516000000,USD,2022,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-11-01,2022-05-01,2022-05-01,12516000000,USD,2023,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-01-31,2022-05-01,2022-05-01,6245000000,USD,2022,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-01-31,2022-05-01,2022-05-01,6245000000,USD,2023,Q2,10-Q,CY2022Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-11-01,2022-07-31,2022-07-31,19036000000,USD,2022,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-11-01,2022-07-31,2022-07-31,19036000000,USD,2023,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-05-02,2022-07-31,2022-07-31,6520000000,USD,2022,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-05-02,2022-07-31,2022-07-31,6520000000,USD,2023,Q3,10-Q,CY2022Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-11-01,2022-10-30,2022-10-30,25785000000,USD,2022,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-11-01,2022-10-30,2022-10-30,25785000000,USD,2023,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-11-01,2022-10-30,2022-10-30,25785000000,USD,2024,FY,10-K,CY2022,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-31,2023-01-29,2023-01-29,6739000000,USD,2023,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-31,2023-01-29,2023-01-29,6739000000,USD,2024,Q1,10-Q,CY2022Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-31,2023-04-30,2023-04-30,13369000000,USD,2023,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-31,2023-04-30,2023-04-30,13369000000,USD,2024,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2023-01-30,2023-04-30,2023-04-30,6630000000,USD,2023,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2023-01-30,2023-04-30,2023-04-30,6630000000,USD,2024,Q2,10-Q,CY2023Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-31,2023-07-30,2023-07-30,19794000000,USD,2023,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-31,2023-07-30,2023-07-30,19794000000,USD,2024,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2023-05-01,2023-07-30,2023-07-30,6425000000,USD,2023,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2023-05-01,2023-07-30,2023-07-30,6425000000,USD,2024,Q3,10-Q,CY2023Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-31,2023-10-29,2023-10-29,26517000000,USD,2023,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-31,2023-10-29,2023-10-29,26517000000,USD,2024,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-31,2023-10-29,2023-10-29,26517000000,USD,2025,FY,10-K,CY2023,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2023-10-30,2024-01-28,2024-01-28,6707000000,USD,2024,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2023-10-30,2024-01-28,2024-01-28,6707000000,USD,2025,Q1,10-Q,CY2023Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
