start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2015-12-27,2016-12-31,2016-12-31,4319000000,USD,2018,FY,10-K,CY2016,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-04-01,2017-04-01,1178000000,USD,2018,FY,10-K,CY2017Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-07-01,2017-07-01,2329000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-04-02,2017-07-01,2017-07-01,1151000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-04-02,2017-07-01,2017-07-01,1151000000,USD,2018,FY,10-K,CY2017Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-09-30,2017-09-30,3913000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-02,2017-09-30,2017-09-30,1584000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-02,2017-09-30,2017-09-30,1584000000,USD,2018,FY,10-K,CY2017Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-12-30,2017-12-30,5253000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-12-30,2017-12-30,5253000000,USD,2019,FY,10-K,CY2017,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-01,2017-12-30,2017-12-30,1340000000,USD,2018,FY,10-K,CY2017Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-12-31,2018-03-31,2018-03-31,1647000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-12-31,2018-03-31,2018-03-31,1647000000,USD,2019,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-12-31,2018-03-31,2018-03-31,1647000000,USD,2019,FY,10-K,CY2018Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-12-31,2018-06-30,2018-06-30,3403000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-12-31,2018-06-30,2018-06-30,3403000000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,1756000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,1756000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,1756000000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,1756000000,USD,2019,FY,10-K,CY2018Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-12-31,2018-09-29,2018-09-29,5056000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-12-31,2018-09-29,2018-09-29,5056000000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-29,2018-09-29,1653000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-29,2018-09-29,1653000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-29,2018-09-29,1653000000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-29,2018-09-29,1653000000,USD,2019,FY,10-K,CY2018Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-12-31,2018-12-29,2018-12-29,6475000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
