start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2016-01-01,2016-12-31,2016-12-31,135987000000,USD,2018,FY,10-K,CY2016,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-03-31,2017-03-31,35714000000,USD,2018,FY,10-K,CY2017Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-04-01,2017-06-30,2017-06-30,37955000000,USD,2018,FY,10-K,CY2017Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-09-30,2017-09-30,117413000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-09-30,2017-09-30,43744000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-09-30,2017-09-30,43744000000,USD,2018,FY,10-K,CY2017Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-12-31,2017-12-31,177866000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-12-31,2017-12-31,177866000000,USD,2019,FY,10-K,CY2017,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-01,2017-12-31,2017-12-31,60453000000,USD,2018,FY,10-K,CY2017Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,51042000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,51042000000,USD,2019,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,51042000000,USD,2019,FY,10-K,CY2018Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-06-30,2018-06-30,103928000000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,52886000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,52886000000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,52886000000,USD,2019,FY,10-K,CY2018Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-09-30,2018-09-30,160504000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-09-30,2018-09-30,160504000000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,56576000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,56576000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,56576000000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,56576000000,USD,2019,FY,10-K,CY2018Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-12-31,2018-12-31,232887000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-12-31,2018-12-31,232887000000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-12-31,2018-12-31,232887000000,USD,2020,FY,10-K,CY2018,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,72383000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,72383000000,USD,2019,FY,10-K,CY2018Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,59700000000,USD,2019,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,59700000000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,59700000000,USD,2020,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,59700000000,USD,2020,FY,10-K,CY2019Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-06-30,2019-06-30,123104000000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-06-30,2019-06-30,123104000000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-04-01,2019-06-30,2019-06-30,63404000000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-04-01,2019-06-30,2019-06-30,63404000000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-04-01,2019-06-30,2019-06-30,63404000000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-04-01,2019-06-30,2019-06-30,63404000000,USD,2020,FY,10-K,CY2019Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-09-30,2019-09-30,193086000000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-09-30,2019-09-30,193086000000,USD,2020,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-30,2019-09-30,69981000000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-30,2019-09-30,69981000000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
