period_end,metric,value,unit
2026-03-31,revenue,10261.0,USD_M
2025-12-31,revenue,11287.0,USD_M
2025-09-30,revenue,8785.0,USD_M
2025-06-30,revenue,8732.0,USD_M
2025-03-31,revenue,8156.0,USD_M
2024-12-31,revenue,9906.0,USD_M
2024-09-30,revenue,8211.0,USD_M
2024-06-30,revenue,6723.0,USD_M
2024-03-31,revenue,5743.0,USD_M
2023-12-31,revenue,7826.0,USD_M
2023-09-30,revenue,7263.0,USD_M
2023-06-30,revenue,7496.0,USD_M
2023-03-31,revenue,7241.0,USD_M
2022-12-31,revenue,6735.0,USD_M
2022-09-30,revenue,5820.0,USD_M
2022-06-30,revenue,5787.0,USD_M
2022-03-31,revenue,3966.0,USD_M
2021-12-31,revenue,5733.0,USD_M
2021-09-30,revenue,6181.0,USD_M
2021-06-30,revenue,4844.0,USD_M
2021-03-31,revenue,5261.0,USD_M
2020-12-31,revenue,4986.0,USD_M
2020-09-30,revenue,4627.0,USD_M
2020-06-30,revenue,3662.0,USD_M
2020-03-31,revenue,2692.0,USD_M
2019-12-31,revenue,4499.0,USD_M
2019-09-30,revenue,3321.0,USD_M
2019-06-30,revenue,2886.0,USD_M
2019-03-31,revenue,2532.0,USD_M
2018-12-31,revenue,3620.0,USD_M
2018-09-30,revenue,3228.0,USD_M
2018-06-30,revenue,3268.0,USD_M
2018-03-31,revenue,2809.0,USD_M
2017-12-31,revenue,2973.0,USD_M
2017-09-30,revenue,2876.0,USD_M
2017-06-30,revenue,2312.0,USD_M
2017-03-31,revenue,2071.0,USD_M
2016-12-31,revenue,2059.0,USD_M
2016-09-30,revenue,2024.0,USD_M
2016-06-30,revenue,1965.0,USD_M
2016-03-31,revenue,1471.0,USD_M
2015-12-31,revenue,1566.0,USD_M
2015-09-30,revenue,1724.0,USD_M
2015-06-30,revenue,1830.0,USD_M
2015-03-31,revenue,1862.0,USD_M
2014-12-31,revenue,1730.0,USD_M
2014-09-30,revenue,1754.0,USD_M
2014-06-30,revenue,2235.0,USD_M
2014-03-31,revenue,1533.0,USD_M
2013-12-31,revenue,2503.0,USD_M
2013-09-30,revenue,1784.0,USD_M
2013-06-30,revenue,1555.0,USD_M
2013-03-31,revenue,1176.0,USD_M
2012-12-31,revenue,1360.0,USD_M
2012-09-30,revenue,1608.0,USD_M
2012-06-30,revenue,1508.0,USD_M
2012-03-31,revenue,1644.0,USD_M
2011-12-31,revenue,1549.0,USD_M
2011-09-30,revenue,1985.0,USD_M
2011-06-30,revenue,2137.0,USD_M
2026-03-31,operating_income,3696.0,USD_M
2025-12-31,operating_income,3992.0,USD_M
2025-09-30,operating_income,2885.0,USD_M
2025-06-30,operating_income,3024.0,USD_M
2025-03-31,operating_income,2884.0,USD_M
2024-12-31,operating_income,3593.0,USD_M
2024-09-30,operating_income,2684.0,USD_M
2024-06-30,operating_income,1976.0,USD_M
2024-03-31,operating_income,1511.0,USD_M
2023-12-31,operating_income,2587.0,USD_M
2023-09-30,operating_income,2375.0,USD_M
2023-06-30,operating_income,2458.0,USD_M
2023-03-31,operating_income,2367.0,USD_M
2022-12-31,operating_income,2254.0,USD_M
2022-09-30,operating_income,1952.0,USD_M
2022-06-30,operating_income,1762.0,USD_M
2022-03-31,operating_income,880.0,USD_M
2021-12-31,operating_income,2348.0,USD_M
2021-09-30,operating_income,2263.0,USD_M
2021-06-30,operating_income,1493.0,USD_M
2021-03-31,operating_income,1881.0,USD_M
2020-12-31,operating_income,1739.0,USD_M
2020-09-30,operating_income,1421.0,USD_M
2020-06-30,operating_income,997.0,USD_M
2020-03-31,operating_income,471.0,USD_M
2019-12-31,operating_income,1428.0,USD_M
2019-09-30,operating_income,762.0,USD_M
2019-06-30,operating_income,556.0,USD_M
2019-03-31,operating_income,380.0,USD_M
2018-12-31,operating_income,940.0,USD_M
2018-09-30,operating_income,951.0,USD_M
2018-06-30,operating_income,822.0,USD_M
2018-03-31,operating_income,789.0,USD_M
2017-12-31,operating_income,870.0,USD_M
2017-09-30,operating_income,771.0,USD_M
2017-06-30,operating_income,611.0,USD_M
2017-03-31,operating_income,570.0,USD_M
2016-12-31,operating_income,573.0,USD_M
2016-09-30,operating_income,553.0,USD_M
2016-06-30,operating_income,457.0,USD_M
2016-03-31,operating_income,252.0,USD_M
2015-12-31,operating_income,346.0,USD_M
2015-09-30,operating_income,414.0,USD_M
2015-06-30,operating_income,463.0,USD_M
2015-03-31,operating_income,514.0,USD_M
2014-12-31,operating_income,282.0,USD_M
2014-09-30,operating_income,347.0,USD_M
2014-06-30,operating_income,536.0,USD_M
2014-03-31,operating_income,-44.0,USD_M
2013-12-31,operating_income,660.0,USD_M
2013-09-30,operating_income,297.0,USD_M
2013-06-30,operating_income,365.0,USD_M
2013-03-31,operating_income,121.0,USD_M
2012-12-31,operating_income,74.0,USD_M
2012-09-30,operating_income,538.0,USD_M
2012-06-30,operating_income,432.0,USD_M
2012-03-31,operating_income,478.0,USD_M
2011-12-31,operating_income,361.0,USD_M
2011-09-30,operating_income,481.0,USD_M
2011-06-30,operating_income,629.0,USD_M
