start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2016-10-31,2017-10-29,2017-10-29,17636000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2016-10-31,2017-10-29,2017-10-29,17636000000,USD,,,8-K,CY2017,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-30,2018-02-04,2018-02-04,5327000000,USD,2019.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-30,2018-02-04,2018-02-04,5327000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-30,2018-02-04,2018-02-04,5327000000,USD,,,8-K,CY2017Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-30,2018-05-06,2018-05-06,10341000000,USD,2019.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-02-05,2018-05-06,2018-05-06,5014000000,USD,2019.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-02-05,2018-05-06,2018-05-06,5014000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-02-05,2018-05-06,2018-05-06,5014000000,USD,,,8-K,CY2018Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-30,2018-08-05,2018-08-05,15404000000,USD,2019.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-05-07,2018-08-05,2018-08-05,5063000000,USD,2019.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-05-07,2018-08-05,2018-08-05,5063000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-05-07,2018-08-05,2018-08-05,5063000000,USD,,,8-K,CY2018Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-30,2018-11-04,2018-11-04,20848000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-30,2018-11-04,2018-11-04,20848000000,USD,,,8-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-30,2018-11-04,2018-11-04,20848000000,USD,2020.0,FY,10-K,CY2018,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-08-06,2018-11-04,2018-11-04,5444000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-08-06,2018-11-04,2018-11-04,5444000000,USD,,,8-K,CY2018Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-02-03,2019-02-03,5789000000,USD,2019.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-02-03,2019-02-03,5789000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-02-03,2019-02-03,5789000000,USD,2020.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-02-03,2019-02-03,5789000000,USD,,,8-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-02-03,2019-02-03,5789000000,USD,2020.0,FY,10-K,CY2018Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-05-05,2019-05-05,11306000000,USD,2019.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-05-05,2019-05-05,11306000000,USD,2020.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-02-04,2019-05-05,2019-05-05,5517000000,USD,2019.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-02-04,2019-05-05,2019-05-05,5517000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-02-04,2019-05-05,2019-05-05,5517000000,USD,2020.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-02-04,2019-05-05,2019-05-05,5517000000,USD,,,8-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-02-04,2019-05-05,2019-05-05,5517000000,USD,2020.0,FY,10-K,CY2019Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-08-04,2019-08-04,16821000000,USD,2019.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-08-04,2019-08-04,16821000000,USD,2020.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-05-06,2019-08-04,2019-08-04,5515000000,USD,2019.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-05-06,2019-08-04,2019-08-04,5515000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-05-06,2019-08-04,2019-08-04,5515000000,USD,,,8-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-05-06,2019-08-04,2019-08-04,5515000000,USD,2020.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-05-06,2019-08-04,2019-08-04,5515000000,USD,2020.0,FY,10-K,CY2019Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-11-03,2019-11-03,22597000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-11-03,2019-11-03,22597000000,USD,,,8-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-11-03,2019-11-03,22597000000,USD,2020.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-11-05,2019-11-03,2019-11-03,22597000000,USD,2021.0,FY,10-K,CY2019,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-08-05,2019-11-03,2019-11-03,5776000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-08-05,2019-11-03,2019-11-03,5776000000,USD,,,8-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-08-05,2019-11-03,2019-11-03,5776000000,USD,2020.0,FY,10-K,CY2019Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-11-04,2020-02-02,2020-02-02,5858000000,USD,2020.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-11-04,2020-02-02,2020-02-02,5858000000,USD,2020.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-11-04,2020-02-02,2020-02-02,5858000000,USD,2021.0,Q1,10-Q,CY2019Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-11-04,2020-05-03,2020-05-03,11600000000,USD,2020.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-11-04,2020-05-03,2020-05-03,11600000000,USD,2021.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-02-03,2020-05-03,2020-05-03,5742000000,USD,2020.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-02-03,2020-05-03,2020-05-03,5742000000,USD,2020.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-02-03,2020-05-03,2020-05-03,5742000000,USD,2021.0,Q2,10-Q,CY2020Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-11-04,2020-08-02,2020-08-02,17421000000,USD,2020.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-11-04,2020-08-02,2020-08-02,17421000000,USD,2021.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-05-04,2020-08-02,2020-08-02,5821000000,USD,2020.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
