start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2006-01-01,2006-12-31,2006-12-31,33018000000,USD,2008,FY,8-K,CY2006,revenue,Revenues
2007-01-01,2007-12-31,2007-12-31,35858000000,USD,2008,FY,8-K,,revenue,Revenues
2007-01-01,2007-12-31,2007-12-31,35858000000,USD,2009,FY,10-K,CY2007,revenue,Revenues
2008-01-01,2008-06-30,2008-06-30,20850000000,USD,2009,Q2,10-Q,,revenue,Revenues
2008-04-01,2008-06-30,2008-06-30,10804000000,USD,2009,Q2,10-Q,CY2008Q2,revenue,Revenues
2008-01-01,2008-09-30,2008-09-30,31251000000,USD,2009,Q3,10-Q,,revenue,Revenues
2008-07-01,2008-09-30,2008-09-30,10401000000,USD,2009,Q3,10-Q,CY2008Q3,revenue,Revenues
2008-01-01,2008-12-31,2008-12-31,41932000000,USD,2008,FY,8-K,,revenue,Revenues
2008-01-01,2008-12-31,2008-12-31,41932000000,USD,2009,FY,10-K,,revenue,Revenues
2008-01-01,2008-12-31,2008-12-31,40492000000,USD,2010,FY,10-K,CY2008,revenue,Revenues
2009-01-01,2009-03-31,2009-03-31,8979000000,USD,2010,Q1,10-Q,CY2009Q1,revenue,Revenues
2009-01-01,2009-06-30,2009-06-30,19558000000,USD,2009,Q2,10-Q,,revenue,Revenues
2009-01-01,2009-06-30,2009-06-30,18760000000,USD,2010,Q2,10-Q/A,,revenue,Revenues
2009-04-01,2009-06-30,2009-06-30,10162000000,USD,2009,Q2,10-Q,,revenue,Revenues
2009-04-01,2009-06-30,2009-06-30,9781000000,USD,2010,Q2,10-Q/A,CY2009Q2,revenue,Revenues
2009-01-01,2009-09-30,2009-09-30,29361000000,USD,2009,Q3,10-Q,,revenue,Revenues
2009-01-01,2009-09-30,2009-09-30,28157000000,USD,2010,Q3,10-Q,,revenue,Revenues
2009-07-01,2009-09-30,2009-09-30,9803000000,USD,2009,Q3,10-Q,,revenue,Revenues
2009-07-01,2009-09-30,2009-09-30,9397000000,USD,2010,Q3,10-Q,CY2009Q3,revenue,Revenues
2009-01-01,2009-12-31,2009-12-31,40386000000,USD,2009,FY,10-K,,revenue,Revenues
2009-01-01,2009-12-31,2009-12-31,38754000000,USD,2010,FY,10-K,,revenue,Revenues
2009-01-01,2009-12-31,2009-12-31,38754000000,USD,2011,FY,10-K,CY2009,revenue,Revenues
2010-01-01,2010-03-31,2010-03-31,11318000000,USD,2010,Q1,10-Q,,revenue,Revenues
2010-01-01,2010-03-31,2010-03-31,11318000000,USD,2011,Q1,10-Q,,revenue,Revenues
2010-01-01,2010-03-31,2010-03-31,11318000000,USD,2011,FY,10-K,CY2010Q1,revenue,Revenues
2010-01-01,2010-06-30,2010-06-30,23571000000,USD,2010,Q2,10-Q/A,,revenue,Revenues
2010-01-01,2010-06-30,2010-06-30,23571000000,USD,2011,Q2,10-Q,,revenue,Revenues
2010-04-01,2010-06-30,2010-06-30,12253000000,USD,2010,Q2,10-Q/A,,revenue,Revenues
2010-04-01,2010-06-30,2010-06-30,12253000000,USD,2011,Q2,10-Q,,revenue,Revenues
2010-04-01,2010-06-30,2010-06-30,12253000000,USD,2011,FY,10-K,CY2010Q2,revenue,Revenues
2010-01-01,2010-09-30,2010-09-30,35434000000,USD,2010,Q3,10-Q,,revenue,Revenues
2010-01-01,2010-09-30,2010-09-30,35434000000,USD,2011,Q3,10-Q,,revenue,Revenues
2010-07-01,2010-09-30,2010-09-30,11863000000,USD,2010,Q3,10-Q,,revenue,Revenues
2010-07-01,2010-09-30,2010-09-30,11863000000,USD,2011,Q3,10-Q,,revenue,Revenues
2010-07-01,2010-09-30,2010-09-30,11863000000,USD,2011,FY,10-K,CY2010Q3,revenue,Revenues
2010-01-01,2010-12-31,2010-12-31,49207000000,USD,2010,FY,10-K,,revenue,Revenues
2010-01-01,2010-12-31,2010-12-31,49207000000,USD,2011,FY,10-K,,revenue,Revenues
2010-01-01,2010-12-31,2010-12-31,31489000000,USD,2012,FY,10-K,CY2010,revenue,Revenues
2010-10-01,2010-12-31,2010-12-31,13773000000,USD,2011,FY,10-K,CY2010Q4,revenue,Revenues
2011-01-01,2011-03-31,2011-03-31,12573000000,USD,2011,Q1,10-Q,,revenue,Revenues
2011-01-01,2011-03-31,2011-03-31,12573000000,USD,2011,FY,10-K,,revenue,Revenues
2011-01-01,2011-03-31,2011-03-31,12573000000,USD,2012,Q1,10-Q,,revenue,Revenues
2011-01-01,2011-03-31,2011-03-31,8190000000,USD,2012,FY,10-K,CY2011Q1,revenue,Revenues
2011-01-01,2011-06-30,2011-06-30,26451000000,USD,2011,Q2,10-Q,,revenue,Revenues
2011-01-01,2011-06-30,2011-06-30,26451000000,USD,2012,Q2,10-Q,,revenue,Revenues
