start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2016-01-01,2016-12-31,2016-12-31,90272000000,USD,2018,FY,10-K,CY2016,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-03-31,2017-03-31,24750000000,USD,2018,Q1,10-Q,CY2017Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-06-30,2017-06-30,50760000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-04-01,2017-06-30,2017-06-30,26010000000,USD,2018,Q2,10-Q,CY2017Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-09-30,2017-09-30,78532000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-09-30,2017-09-30,27772000000,USD,2018,Q3,10-Q,CY2017Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-12-31,2017-12-31,110855000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-12-31,2017-12-31,110855000000,USD,2019,FY,10-K,CY2017,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,31146000000,USD,2018,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,31146000000,USD,2019,Q1,10-Q,CY2018Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-06-30,2018-06-30,63803000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-06-30,2018-06-30,63803000000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,32657000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,32657000000,USD,2019,Q2,10-Q,CY2018Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-09-30,2018-09-30,97543000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-09-30,2018-09-30,97543000000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,33740000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,33740000000,USD,2019,Q3,10-Q,CY2018Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-12-31,2018-12-31,136819000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-12-31,2018-12-31,136819000000,USD,2019,FY,10-K,CY2018,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,36339000000,USD,2019,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,36339000000,USD,2020,Q1,10-Q,CY2019Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-06-30,2019-06-30,75283000000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-06-30,2019-06-30,75283000000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
