start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2016-07-01,2017-06-30,2017-06-30,3480014000,USD,2019,FY,10-K,CY2017,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-09-30,2017-09-30,969581000,USD,2019,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-09-30,2017-09-30,969581000,USD,2019,FY,10-K,CY2017Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-12-31,2017-12-31,1945403000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-01,2017-12-31,2017-12-31,975822000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-01,2017-12-31,2017-12-31,975822000,USD,2019,FY,10-K,CY2017Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2018-03-31,2018-03-31,2966697000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,1021294000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,1021294000,USD,2019,FY,10-K,CY2018Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2018-06-30,2018-06-30,4036701000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2018-06-30,2018-06-30,4036701000,USD,2020,FY,10-K,CY2018,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,1070004000,USD,2019,FY,10-K,CY2018Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,1093260000,USD,2019,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,1093260000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,1093260000,USD,2020,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,1093260000,USD,2020,FY,10-K,CY2018Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-12-31,2018-12-31,2213158000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-12-31,2018-12-31,2213158000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,1119898000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,1119898000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,1119898000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,1119898000,USD,2020,FY,10-K,CY2018Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-03-31,2019-03-31,3310469000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-03-31,2019-03-31,3310469000,USD,2020,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,1097311000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,1097311000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,1097311000,USD,2020,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,1097311000,USD,2020,FY,10-K,CY2019Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-06-30,2019-06-30,4568904000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-06-30,2019-06-30,4568904000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-06-30,2019-06-30,4568904000,USD,2021,FY,10-K,CY2019,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-04-01,2019-06-30,2019-06-30,1258435000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-04-01,2019-06-30,2019-06-30,1258435000,USD,2020,FY,10-K,CY2019Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-30,2019-09-30,1413414000,USD,2020,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-30,2019-09-30,1413414000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-30,2019-09-30,1413414000,USD,2021,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-30,2019-09-30,1413414000,USD,2021,FY,10-K,CY2019Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-12-31,2019-12-31,2922867000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-12-31,2019-12-31,2922867000,USD,2021,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-01,2019-12-31,2019-12-31,1509453000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-01,2019-12-31,2019-12-31,1509453000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-01,2019-12-31,2019-12-31,1509453000,USD,2021,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-01,2019-12-31,2019-12-31,1509453000,USD,2021,FY,10-K,CY2019Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-03-31,2020-03-31,4346831000,USD,2020,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-03-31,2020-03-31,4346831000,USD,2021,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-01-01,2020-03-31,2020-03-31,1423964000,USD,2020,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-01-01,2020-03-31,2020-03-31,1423964000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-01-01,2020-03-31,2020-03-31,1423964000,USD,2021,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-01-01,2020-03-31,2020-03-31,1423964000,USD,2021,FY,10-K,CY2020Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-06-30,2020-06-30,5806424000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-06-30,2020-06-30,5806424000,USD,2021,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-06-30,2020-06-30,5806424000,USD,2022,FY,10-K,CY2020,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-04-01,2020-06-30,2020-06-30,1459593000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-04-01,2020-06-30,2020-06-30,1459593000,USD,2021,FY,10-K,CY2020Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2020-09-30,2020-09-30,1538620000,USD,2021,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2020-09-30,2020-09-30,1538620000,USD,2021,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2020-09-30,2020-09-30,1538620000,USD,2022,Q1,10-Q,CY2020Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2020-12-31,2020-12-31,3189490000,USD,2021,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2020-12-31,2020-12-31,3189490000,USD,2022,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-01,2020-12-31,2020-12-31,1650870000,USD,2021,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-01,2020-12-31,2020-12-31,1650870000,USD,2021,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-01,2020-12-31,2020-12-31,1650870000,USD,2022,Q2,10-Q,CY2020Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-03-31,2021-03-31,4993263000,USD,2021,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-03-31,2021-03-31,4993263000,USD,2022,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-01-01,2021-03-31,2021-03-31,1803773000,USD,2021,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-01-01,2021-03-31,2021-03-31,1803773000,USD,2021,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-01-01,2021-03-31,2021-03-31,1803773000,USD,2022,Q3,10-Q,CY2021Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-06-30,2021-06-30,6918734000,USD,2021,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-06-30,2021-06-30,6918734000,USD,2022,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-06-30,2021-06-30,6918734000,USD,2023,FY,10-K,CY2021,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-04-01,2021-06-30,2021-06-30,1925471000,USD,2021,FY,10-K,CY2021Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2021-09-30,2021-09-30,2083838000,USD,2022,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2021-09-30,2021-09-30,2083838000,USD,2023,Q1,10-Q,CY2021Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2021-12-31,2021-12-31,4436468000,USD,2022,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2021-12-31,2021-12-31,4436468000,USD,2023,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-10-01,2021-12-31,2021-12-31,2352630000,USD,2022,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-10-01,2021-12-31,2021-12-31,2352630000,USD,2023,Q2,10-Q,CY2021Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-03-31,2022-03-31,6725144000,USD,2022,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-03-31,2022-03-31,6725144000,USD,2023,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-01-01,2022-03-31,2022-03-31,2288676000,USD,2022,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-01-01,2022-03-31,2022-03-31,2288676000,USD,2023,Q3,10-Q,CY2022Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-06-30,2022-06-30,9211883000,USD,2022,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-06-30,2022-06-30,9211883000,USD,2023,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-06-30,2022-06-30,9211883000,USD,2024,FY,10-K,CY2022,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-07-01,2022-09-30,2022-09-30,2724424000,USD,2023,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-07-01,2022-09-30,2022-09-30,2724424000,USD,2024,Q1,10-Q,CY2022Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-07-01,2022-12-31,2022-12-31,5708311000,USD,2023,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-07-01,2022-12-31,2022-12-31,5708311000,USD,2024,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-10-01,2022-12-31,2022-12-31,2983887000,USD,2023,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
