start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2016-06-27,2017-06-25,2017-06-25,8013620000,USD,2019,FY,10-K,CY2016,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-06-26,2017-09-24,2017-09-24,2478140000,USD,2019,Q1,10-Q,CY2017Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-06-26,2017-12-24,2017-12-24,5058955000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-09-25,2017-12-24,2017-12-24,2580815000,USD,2019,Q2,10-Q,CY2017Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-06-26,2018-03-25,2018-03-25,7951070000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-12-25,2018-03-25,2018-03-25,2892115000,USD,2019,Q3,10-Q,CY2018Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-06-26,2018-06-24,2018-06-24,11076998000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-06-26,2018-06-24,2018-06-24,11076998000,USD,2020,FY,10-K,CY2017,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-06-25,2018-09-23,2018-09-23,2330691000,USD,2019,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-06-25,2018-09-23,2018-09-23,2330691000,USD,2020,Q1,10-Q,CY2018Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-06-25,2018-12-23,2018-12-23,4853364000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-06-25,2018-12-23,2018-12-23,4853364000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-09-24,2018-12-23,2018-12-23,2522673000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-09-24,2018-12-23,2018-12-23,2522673000,USD,2020,Q2,10-Q,CY2018Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-06-25,2019-03-31,2019-03-31,7292412000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-06-25,2019-03-31,2019-03-31,7292412000,USD,2020,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-12-24,2019-03-31,2019-03-31,2439048000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-12-24,2019-03-31,2019-03-31,2439048000,USD,2020,Q3,10-Q,CY2019Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-06-25,2019-06-30,2019-06-30,9653559000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-06-25,2019-06-30,2019-06-30,9653559000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-06-25,2019-06-30,2019-06-30,9653559000,USD,2021,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-29,2019-09-29,2165746000,USD,2020,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-29,2019-09-29,2165746000,USD,2021,Q1,10-Q,CY2019Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-12-29,2019-12-29,4749247000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-12-29,2019-12-29,4749247000,USD,2021,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-09-30,2019-12-29,2019-12-29,2583501000,USD,2020,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-09-30,2019-12-29,2019-12-29,2583501000,USD,2021,Q2,10-Q,CY2019Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-03-29,2020-03-29,7252872000,USD,2020,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-03-29,2020-03-29,7252872000,USD,2021,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-12-30,2020-03-29,2020-03-29,2503625000,USD,2020,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-12-30,2020-03-29,2020-03-29,2503625000,USD,2021,Q3,10-Q,CY2020Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-06-28,2020-06-28,10044736000,USD,2020,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-06-28,2020-06-28,10044736000,USD,2021,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-06-28,2020-06-28,10044736000,USD,2022,FY,10-K,CY2019,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-06-29,2020-09-27,2020-09-27,3177080000,USD,2021,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
