start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2016-01-01,2016-12-31,2016-12-31,27638000000,USD,2018,FY,10-K,CY2016,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-03-31,2017-03-31,8032000000,USD,2018,Q1,10-Q,CY2017Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-06-30,2017-06-30,17353000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-04-01,2017-06-30,2017-06-30,9321000000,USD,2018,Q2,10-Q,CY2017Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-09-30,2017-09-30,27681000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-09-30,2017-09-30,10328000000,USD,2018,Q3,10-Q,CY2017Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-12-31,2017-12-31,40653000000,USD,2018,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-12-31,2017-12-31,40653000000,USD,2019,FY,10-K,CY2017,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,11966000000,USD,2018,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,11966000000,USD,2019,Q1,10-Q,CY2018Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-06-30,2018-06-30,25197000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-06-30,2018-06-30,25197000000,USD,2019,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,13231000000,USD,2018,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,13231000000,USD,2019,Q2,10-Q,CY2018Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-09-30,2018-09-30,38924000000,USD,2018,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-09-30,2018-09-30,38924000000,USD,2019,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
