start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2007-01-01,2007-12-31,2007-12-31,13778000000,USD,2009,FY,10-K,CY2007,revenue,Revenues
2008-01-01,2008-06-30,2008-06-30,6781000000,USD,2009,Q2,10-Q/A,,revenue,Revenues
2008-01-01,2008-06-30,2008-06-30,6781000000,USD,2009,Q2,10-Q,,revenue,Revenues
2008-04-01,2008-06-30,2008-06-30,3382000000,USD,2009,Q2,10-Q/A,CY2008Q2,revenue,Revenues
2008-04-01,2008-06-30,2008-06-30,3382000000,USD,2009,Q2,10-Q,,revenue,Revenues
2008-01-01,2008-09-30,2008-09-30,10160000000,USD,2009,Q3,10-Q,,revenue,Revenues
2008-07-01,2008-09-30,2008-09-30,3379000000,USD,2009,Q3,10-Q,CY2008Q3,revenue,Revenues
2008-01-01,2008-12-31,2008-12-31,13475000000,USD,2010,FY,10-K,CY2008,revenue,Revenues
2008-01-01,2008-12-31,2008-12-31,13475000000,USD,2009,FY,10-K,,revenue,Revenues
2009-01-01,2009-03-31,2009-03-31,3173000000,USD,2010,FY,10-K,CY2009Q1,revenue,Revenues
2009-01-01,2009-03-31,2009-03-31,3173000000,USD,2010,Q1,10-Q,,revenue,Revenues
2009-01-01,2009-06-30,2009-06-30,6263000000,USD,2010,Q2,10-Q,,revenue,Revenues
2009-01-01,2009-06-30,2009-06-30,6263000000,USD,2009,Q2,10-Q/A,,revenue,Revenues
2009-01-01,2009-06-30,2009-06-30,6263000000,USD,2009,Q2,10-Q,,revenue,Revenues
2009-04-01,2009-06-30,2009-06-30,3090000000,USD,2010,FY,10-K,CY2009Q2,revenue,Revenues
2009-04-01,2009-06-30,2009-06-30,3090000000,USD,2010,Q2,10-Q,,revenue,Revenues
2009-04-01,2009-06-30,2009-06-30,3090000000,USD,2009,Q2,10-Q/A,,revenue,Revenues
2009-04-01,2009-06-30,2009-06-30,3090000000,USD,2009,Q2,10-Q,,revenue,Revenues
2009-01-01,2009-09-30,2009-09-30,9317000000,USD,2010,Q3,10-Q,,revenue,Revenues
2009-01-01,2009-09-30,2009-09-30,9317000000,USD,2009,Q3,10-Q,,revenue,Revenues
2009-07-01,2009-09-30,2009-09-30,3054000000,USD,2010,FY,10-K,CY2009Q3,revenue,Revenues
2009-07-01,2009-09-30,2009-09-30,3054000000,USD,2010,Q3,10-Q,,revenue,Revenues
2009-07-01,2009-09-30,2009-09-30,3054000000,USD,2009,Q3,10-Q,,revenue,Revenues
2009-01-01,2009-12-31,2009-12-31,12311000000,USD,2010,FY,10-K,CY2009,revenue,Revenues
2009-01-01,2009-12-31,2009-12-31,12311000000,USD,2009,FY,10-K,,revenue,Revenues
2009-10-01,2009-12-31,2009-12-31,2994000000,USD,2010,FY,10-K,CY2009Q4,revenue,Revenues
2010-01-01,2010-03-31,2010-03-31,2966000000,USD,2011,Q1,10-Q,CY2010Q1,revenue,Revenues
2010-01-01,2010-03-31,2010-03-31,2966000000,USD,2010,FY,10-K,,revenue,Revenues
2010-01-01,2010-03-31,2010-03-31,2966000000,USD,2010,Q1,10-Q,,revenue,Revenues
2010-01-01,2010-06-30,2010-06-30,5896000000,USD,2010,Q2,10-Q,,revenue,Revenues
2010-04-01,2010-06-30,2010-06-30,2930000000,USD,2010,FY,10-K,CY2010Q2,revenue,Revenues
2010-04-01,2010-06-30,2010-06-30,2930000000,USD,2010,Q2,10-Q,,revenue,Revenues
2010-01-01,2010-09-30,2010-09-30,8831000000,USD,2010,Q3,10-Q,,revenue,Revenues
2010-07-01,2010-09-30,2010-09-30,2935000000,USD,2010,FY,10-K,CY2010Q3,revenue,Revenues
2010-07-01,2010-09-30,2010-09-30,2935000000,USD,2010,Q3,10-Q,,revenue,Revenues
2010-01-01,2010-12-31,2010-12-31,11730000000,USD,2010,FY,10-K,CY2010,revenue,Revenues
