start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2015-07-01,2016-06-30,2016-06-30,91154000000,USD,2018.0,FY,10-K,CY2016,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2016-07-02,2016-09-30,2016-09-30,21928000000,USD,2018.0,FY,10-K,CY2016Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2016-10-01,2016-12-31,2016-12-31,25826000000,USD,2018.0,FY,10-K,CY2016Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-01,2017-03-31,2017-03-31,23212000000,USD,2018.0,FY,10-K,CY2017Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2016-07-01,2017-06-30,2017-06-30,96571000000,USD,2018.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2016-07-01,2017-06-30,2017-06-30,96571000000,USD,2019.0,FY,10-K,CY2017,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-04-01,2017-06-30,2017-06-30,25605000000,USD,2018.0,FY,10-K,CY2017Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-09-30,2017-09-30,24538000000,USD,2018.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-09-30,2017-09-30,24538000000,USD,2019.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-09-30,2017-09-30,24538000000,USD,2019.0,FY,10-K,CY2017Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2017-12-31,2017-12-31,53456000000,USD,2019.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-01,2017-12-31,2017-12-31,28918000000,USD,2018.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-01,2017-12-31,2017-12-31,28918000000,USD,2019.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-01,2017-12-31,2017-12-31,28918000000,USD,2019.0,FY,10-K,CY2017Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2018-03-31,2018-03-31,80275000000,USD,2019.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,26819000000,USD,2018.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,26819000000,USD,2019.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-01,2018-03-31,2018-03-31,26819000000,USD,2019.0,FY,10-K,CY2018Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2018-06-30,2018-06-30,110360000000,USD,2018.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2018-06-30,2018-06-30,110360000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-01,2018-06-30,2018-06-30,110360000000,USD,2020.0,FY,10-K,CY2018,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,30085000000,USD,2018.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-01,2018-06-30,2018-06-30,30085000000,USD,2019.0,FY,10-K,CY2018Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,29084000000,USD,2019.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,29084000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,29084000000,USD,2020.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-09-30,2018-09-30,29084000000,USD,2020.0,FY,10-K,CY2018Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-12-31,2018-12-31,61555000000,USD,2019.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2018-12-31,2018-12-31,61555000000,USD,2020.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,32471000000,USD,2019.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,32471000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,32471000000,USD,2020.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-10-01,2018-12-31,2018-12-31,32471000000,USD,2020.0,FY,10-K,CY2018Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-03-31,2019-03-31,92126000000,USD,2019.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-03-31,2019-03-31,92126000000,USD,2020.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,30571000000,USD,2019.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,30571000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,30571000000,USD,2020.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-01-01,2019-03-31,2019-03-31,30571000000,USD,2020.0,FY,10-K,CY2019Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-06-30,2019-06-30,125843000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-06-30,2019-06-30,125843000000,USD,2020.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-01,2019-06-30,2019-06-30,125843000000,USD,2021.0,FY,10-K,CY2019,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-04-01,2019-06-30,2019-06-30,33717000000,USD,2019.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-04-01,2019-06-30,2019-06-30,33717000000,USD,2020.0,FY,10-K,CY2019Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-30,2019-09-30,33055000000,USD,2020.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-30,2019-09-30,33055000000,USD,2020.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-09-30,2019-09-30,33055000000,USD,2021.0,Q1,10-Q,CY2019Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-12-31,2019-12-31,69961000000,USD,2020.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2019-12-31,2019-12-31,69961000000,USD,2021.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-01,2019-12-31,2019-12-31,36906000000,USD,2020.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-01,2019-12-31,2019-12-31,36906000000,USD,2020.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-10-01,2019-12-31,2019-12-31,36906000000,USD,2021.0,Q2,10-Q,CY2019Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-03-31,2020-03-31,104982000000,USD,2020.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-03-31,2020-03-31,104982000000,USD,2021.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-01-01,2020-03-31,2020-03-31,35021000000,USD,2020.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-01-01,2020-03-31,2020-03-31,35021000000,USD,2020.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-01-01,2020-03-31,2020-03-31,35021000000,USD,2021.0,Q3,10-Q,CY2020Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-06-30,2020-06-30,143015000000,USD,2020.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-06-30,2020-06-30,143015000000,USD,2021.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2019-07-01,2020-06-30,2020-06-30,143015000000,USD,2022.0,FY,10-K,CY2020,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-04-01,2020-06-30,2020-06-30,38033000000,USD,2020.0,FY,10-K,CY2020Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2020-09-30,2020-09-30,37154000000,USD,2021.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2020-09-30,2020-09-30,37154000000,USD,2022.0,Q1,10-Q,CY2020Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2020-12-31,2020-12-31,80230000000,USD,2021.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2020-12-31,2020-12-31,80230000000,USD,2022.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-01,2020-12-31,2020-12-31,43076000000,USD,2021.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-10-01,2020-12-31,2020-12-31,43076000000,USD,2022.0,Q2,10-Q,CY2020Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-03-31,2021-03-31,121936000000,USD,2021.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-03-31,2021-03-31,121936000000,USD,2022.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-01-01,2021-03-31,2021-03-31,41706000000,USD,2021.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-01-01,2021-03-31,2021-03-31,41706000000,USD,2022.0,Q3,10-Q,CY2021Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-06-30,2021-06-30,168088000000,USD,2021.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-06-30,2021-06-30,168088000000,USD,2022.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2020-07-01,2021-06-30,2021-06-30,168088000000,USD,2023.0,FY,10-K,CY2021,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2021-09-30,2021-09-30,45317000000,USD,2022.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2021-09-30,2021-09-30,45317000000,USD,2023.0,Q1,10-Q,CY2021Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2021-12-31,2021-12-31,97045000000,USD,2022.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2021-12-31,2021-12-31,97045000000,USD,2023.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-10-01,2021-12-31,2021-12-31,51728000000,USD,2022.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-10-01,2021-12-31,2021-12-31,51728000000,USD,2023.0,Q2,10-Q,CY2021Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-03-31,2022-03-31,146405000000,USD,2022.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-03-31,2022-03-31,146405000000,USD,2023.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-01-01,2022-03-31,2022-03-31,49360000000,USD,2022.0,Q3,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-01-01,2022-03-31,2022-03-31,49360000000,USD,2023.0,Q3,10-Q,CY2022Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-06-30,2022-06-30,198270000000,USD,2022.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-06-30,2022-06-30,198270000000,USD,2023.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-06-30,2022-06-30,198270000000,USD,2024.0,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2021-07-01,2022-06-30,2022-06-30,198270000000,USD,,,8-K,CY2022,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-07-01,2022-09-30,2022-09-30,50122000000,USD,2023.0,Q1,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-07-01,2022-09-30,2022-09-30,50122000000,USD,2024.0,Q1,10-Q,CY2022Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-07-01,2022-12-31,2022-12-31,102869000000,USD,2023.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2022-07-01,2022-12-31,2022-12-31,102869000000,USD,2024.0,Q2,10-Q,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
