start,end,period_end,value,unit,fy,fp,form,frame,metric,tag
2016-02-01,2017-01-29,2017-01-29,6910000000,USD,2019,FY,10-K,CY2016,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-30,2017-04-30,2017-04-30,1937000000,USD,2019,FY,10-K,CY2017Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-05-01,2017-07-30,2017-07-30,2230000000,USD,2019,FY,10-K,CY2017Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-07-31,2017-10-29,2017-10-29,2636000000,USD,2019,FY,10-K,CY2017Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-30,2018-01-28,2018-01-28,9714000000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-01-30,2018-01-28,2018-01-28,9714000000,USD,2020,FY,10-K,CY2017,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2017-10-30,2018-01-28,2018-01-28,2911000000,USD,2019,FY,10-K,CY2017Q4,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-29,2018-04-29,2018-04-29,3207000000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-29,2018-04-29,2018-04-29,3207000000,USD,2020,FY,10-K,CY2018Q1,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-30,2018-07-29,2018-07-29,3123000000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-04-30,2018-07-29,2018-07-29,3123000000,USD,2020,FY,10-K,CY2018Q2,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-30,2018-10-28,2018-10-28,3181000000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-07-30,2018-10-28,2018-10-28,3181000000,USD,2020,FY,10-K,CY2018Q3,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
2018-01-29,2019-01-27,2019-01-27,11716000000,USD,2019,FY,10-K,,revenue,RevenueFromContractWithCustomerExcludingAssessedTax
