period_end,metric,value,unit
2025-06-30,revenue,4337.0,USD_M
2024-06-30,revenue,3827.0,USD_M
2023-06-30,revenue,4374.0,USD_M
2022-06-30,revenue,5057.0,USD_M
2021-06-30,revenue,3952.0,USD_M
2020-06-30,revenue,3342.0,USD_M
2019-06-30,revenue,3515.0,USD_M
2018-06-30,revenue,3529.0,USD_M
2017-06-30,revenue,3026.0,USD_M
2016-06-30,revenue,2797.0,USD_M
2015-06-30,revenue,2575.0,USD_M
2014-06-30,revenue,2886.0,USD_M
2013-06-30,revenue,2736.0,USD_M
2013-03-31,revenue,2445.0,USD_M
2012-12-31,revenue,3025.0,USD_M
2012-09-30,revenue,3435.0,USD_M
2012-06-30,revenue,3326.0,USD_M
2012-03-31,revenue,3255.0,USD_M
2011-12-31,revenue,3495.0,USD_M
2011-09-30,revenue,3489.0,USD_M
2011-06-30,revenue,3065.0,USD_M
2025-06-30,operating_income,1151.0,USD_M
2024-06-30,operating_income,1223.0,USD_M
2023-06-30,operating_income,1393.0,USD_M
2022-06-30,operating_income,1922.0,USD_M
2021-06-30,operating_income,1172.0,USD_M
2020-06-30,operating_income,846.0,USD_M
2019-06-30,operating_income,978.0,USD_M
2018-06-30,operating_income,878.0,USD_M
2017-06-30,operating_income,667.0,USD_M
2016-06-30,operating_income,558.0,USD_M
2015-06-30,operating_income,422.0,USD_M
2014-06-30,operating_income,477.0,USD_M
2013-06-30,operating_income,460.0,USD_M
2013-03-31,operating_income,2445.0,USD_M
2012-12-31,operating_income,3025.0,USD_M
2012-09-30,operating_income,3435.0,USD_M
2012-06-30,operating_income,499.0,USD_M
2012-03-31,operating_income,3255.0,USD_M
2011-12-31,operating_income,3495.0,USD_M
2011-09-30,operating_income,3489.0,USD_M
2011-06-30,operating_income,482.0,USD_M
