period_end,metric,value,unit
2026-03-31,revenue,35838.0,USD_M
2025-12-31,revenue,32499.0,USD_M
2025-09-30,revenue,33063.0,USD_M
2025-06-30,revenue,30348.0,USD_M
2025-03-31,revenue,25513.0,USD_M
2024-12-31,revenue,25060.0,USD_M
2024-09-30,revenue,23550.0,USD_M
2024-06-30,revenue,20811.0,USD_M
2024-03-31,revenue,18846.0,USD_M
2023-12-31,revenue,20913.0,USD_M
2023-09-30,revenue,17277.0,USD_M
2023-06-30,revenue,15675.0,USD_M
2023-03-31,revenue,16734.0,USD_M
2022-12-31,revenue,17806.0,USD_M
2022-09-30,revenue,20172.0,USD_M
2022-06-30,revenue,18161.0,USD_M
2022-03-31,revenue,17531.0,USD_M
2021-12-31,revenue,16116.0,USD_M
2021-09-30,revenue,14883.0,USD_M
2021-06-30,revenue,13321.0,USD_M
2021-03-31,revenue,12904.0,USD_M
2020-12-31,revenue,14821.0,USD_M
2020-09-30,revenue,12155.0,USD_M
2020-06-30,revenue,10406.0,USD_M
2020-03-31,revenue,10312.0,USD_M
2019-12-31,revenue,11497.0,USD_M
2019-09-30,revenue,9406.0,USD_M
2019-06-30,revenue,7762.0,USD_M
2019-03-31,revenue,7108.0,USD_M
2018-12-31,revenue,8890.0,USD_M
2018-09-30,revenue,8487.0,USD_M
2018-06-30,revenue,7836.0,USD_M
2018-03-31,revenue,8480.0,USD_M
2017-12-31,revenue,10048.0,USD_M
2017-09-30,revenue,8345.0,USD_M
2017-06-30,revenue,7077.0,USD_M
2017-03-31,revenue,7507.0,USD_M
2016-12-31,revenue,8009.0,USD_M
2016-09-30,revenue,8229.0,USD_M
2016-06-30,revenue,6854.0,USD_M
2016-03-31,revenue,6165.0,USD_M
2015-12-31,revenue,6204.0,USD_M
2015-09-30,revenue,6652.0,USD_M
2015-06-30,revenue,6677.0,USD_M
2015-03-31,revenue,7038.0,USD_M
2014-12-31,revenue,6211.0,USD_M
2014-09-30,revenue,6961.0,USD_M
2014-06-30,revenue,6076.0,USD_M
2014-03-31,revenue,4892.0,USD_M
2013-12-31,revenue,4819.0,USD_M
2013-09-30,revenue,5445.0,USD_M
2013-06-30,revenue,5222.0,USD_M
2013-03-31,revenue,4527.0,USD_M
2012-12-31,revenue,4839.0,USD_M
2012-09-30,revenue,4735.0,USD_M
2012-06-30,revenue,4326.0,USD_M
2012-03-31,revenue,3526.0,USD_M
2011-12-31,revenue,3460.0,USD_M
2011-09-30,revenue,3657.0,USD_M
2011-06-30,revenue,3829.0,USD_M
2026-03-31,operating_income,20823.0,USD_M
2025-12-31,operating_income,17559.0,USD_M
2025-09-30,operating_income,16723.0,USD_M
2025-06-30,operating_income,15061.0,USD_M
2025-03-31,operating_income,12375.0,USD_M
2024-12-31,operating_income,12362.0,USD_M
2024-09-30,operating_income,11184.0,USD_M
2024-06-30,operating_income,8855.0,USD_M
2024-03-31,operating_income,7919.0,USD_M
2023-12-31,operating_income,8695.0,USD_M
2023-09-30,operating_income,7207.0,USD_M
2023-06-30,operating_income,6584.0,USD_M
2023-03-31,operating_income,7608.0,USD_M
2022-12-31,operating_income,9377.0,USD_M
2022-09-30,operating_income,10210.0,USD_M
2022-06-30,operating_income,8912.0,USD_M
2022-03-31,operating_income,7989.0,USD_M
2021-12-31,operating_income,6718.0,USD_M
2021-09-30,operating_income,6139.0,USD_M
2021-06-30,operating_income,5215.0,USD_M
2021-03-31,operating_income,5359.0,USD_M
2020-12-31,operating_income,6409.0,USD_M
2020-09-30,operating_income,5117.0,USD_M
2020-06-30,operating_income,4392.0,USD_M
2020-03-31,operating_income,4267.0,USD_M
2019-12-31,operating_income,4452.0,USD_M
2019-09-30,operating_income,3463.0,USD_M
2019-06-30,operating_income,2457.0,USD_M
2019-03-31,operating_income,2089.0,USD_M
2018-12-31,operating_income,3279.0,USD_M
2018-09-30,operating_income,3105.0,USD_M
2018-06-30,operating_income,2837.0,USD_M
2018-03-31,operating_income,3311.0,USD_M
2017-12-31,operating_income,3947.0,USD_M
2017-09-30,operating_income,3246.0,USD_M
2017-06-30,operating_income,2756.0,USD_M
2017-03-31,operating_income,3060.0,USD_M
2016-12-31,operating_income,3351.0,USD_M
2016-09-30,operating_income,3358.0,USD_M
2016-06-30,operating_income,2822.0,USD_M
2016-03-31,operating_income,2135.0,USD_M
2015-12-31,operating_income,2377.0,USD_M
2015-09-30,operating_income,2454.0,USD_M
2015-06-30,operating_income,2505.0,USD_M
2015-03-31,operating_income,2746.0,USD_M
2014-12-31,operating_income,2470.0,USD_M
2014-09-30,operating_income,2812.0,USD_M
2014-06-30,operating_income,2348.0,USD_M
2014-03-31,operating_income,1733.0,USD_M
2013-12-31,operating_income,1599.0,USD_M
2013-09-30,operating_income,1997.0,USD_M
2013-06-30,operating_income,1931.0,USD_M
2013-03-31,operating_income,1515.0,USD_M
2012-12-31,operating_income,1706.0,USD_M
2012-09-30,operating_income,1764.0,USD_M
2012-06-30,operating_income,1578.0,USD_M
2012-03-31,operating_income,1184.0,USD_M
2011-12-31,operating_income,1086.0,USD_M
2011-09-30,operating_income,1085.0,USD_M
2011-06-30,operating_income,1312.0,USD_M
