ticker,layer,best_lag_q,peak_corr,corr_low,corr_high,beta,beta_low,beta_high
NVDA,accelerators_designers,4,-0.1656,-0.4453,-0.0051,-0.0403,-0.5029,-0.002
AMD,accelerators_designers,4,-0.3223,-0.5967,-0.051,-0.1189,-0.3486,-0.0188
AVGO,accelerators_designers,0,0.3154,0.2104,0.6507,0.0543,0.0213,0.2922
MRVL,accelerators_designers,1,-0.8422,-1.0,-0.3345,-0.0017,-0.0246,-0.001
TSM,foundry,0,0.2821,0.0548,0.4786,0.0174,0.0094,0.0898
ASML,equipment,1,-0.2362,-0.4389,0.1405,-0.0245,-0.11,0.039
AMAT,equipment,1,-0.2958,-0.5363,0.1651,-0.0205,-0.0725,0.0286
LRCX,equipment,3,0.2181,-0.2815,0.4461,0.0179,-0.1063,0.0756
KLAC,equipment,2,-0.358,-0.5798,-0.0447,-0.0185,-0.0575,-0.0074
8035.T,equipment,1,-0.4901,-0.7797,-0.0721,-0.2888,-0.5618,-0.0473
SHECY,materials_substrates,6,-0.6169,-0.9264,0.0076,-0.0199,-0.0819,0.0005
3436.T,materials_substrates,1,-0.686,-0.9259,-0.3958,-0.0917,-0.434,-0.0524
ENTG,materials_substrates,3,-0.4081,-0.6668,-0.0295,-0.019,-0.0578,-0.0038
